color,id,name,slug
#46a546,3,PREVENTIVE resistance (precautionary phase),calcatreu-rio-negro-argentina
#7a43b6,5,Mobilization for reparations once impacts have been felt,water-contamination-by-rahim-yar-khan-sugar-mill
#46a546,3,PREVENTIVE resistance (precautionary phase),new-airport-on-tioman-island
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pesticides-contaminate-drinkable-water-in-bretagne-france
#ee2c2c,4,In REACTION to the implementation (during construction or operation),copper-mining-on-the-asana-river-peru
#46a546,3,PREVENTIVE resistance (precautionary phase),wind-farm-nowe-skalmierzyce-poland
#ee2c2c,4,In REACTION to the implementation (during construction or operation),kamchay-dam-kampot-province-cambodia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pt-sss-irregular-establishment
#46a546,3,PREVENTIVE resistance (precautionary phase),wpb-colliery-in-dullstroom-mpumalanga-south-africa
#46a546,3,PREVENTIVE resistance (precautionary phase),a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
#999999,1,UNKNOWN,lake-chad-desertification-chad
#46a546,3,PREVENTIVE resistance (precautionary phase),xochicuautla-comunidadotomi-mexico
#ee2c2c,4,In REACTION to the implementation (during construction or operation),congo-coltan-in-the-kivu-region-dr-of-congo
#46a546,3,PREVENTIVE resistance (precautionary phase),lesten-tampur-dam
#ee2c2c,4,In REACTION to the implementation (during construction or operation),sime-darby-plantation-land-conflict-liberia
#7a43b6,5,Mobilization for reparations once impacts have been felt,obsolete-pesticides-in-abaco-island-bahamas
#ee2c2c,4,In REACTION to the implementation (during construction or operation),anglo-platinum-mogalakwena-mine-lawsuit-south-africa
#7a43b6,5,Mobilization for reparations once impacts have been felt,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
#46a546,3,PREVENTIVE resistance (precautionary phase),oil-drilling-in-the-national-park-of-calilegua
#46a546,3,PREVENTIVE resistance (precautionary phase),irish-cement
#ee2c2c,4,In REACTION to the implementation (during construction or operation),centrale-elettronucleare-alto-lazio-di-montalto-di-castro
#ee2c2c,4,In REACTION to the implementation (during construction or operation),telangana-government-plantation-programme
#46a546,3,PREVENTIVE resistance (precautionary phase),depredacion-ecologica-en-el-cerro-de-el-cimatario
#ee2c2c,4,In REACTION to the implementation (during construction or operation),contaminacion-del-rio-pirai
#ee2c2c,4,In REACTION to the implementation (during construction or operation),chuangyuan-aluminium-plant-pollution-in-hunan-china
#46a546,3,PREVENTIVE resistance (precautionary phase),buryatia-vs-yukos-oil-russian-federation
#46a546,3,PREVENTIVE resistance (precautionary phase),wisco-soalala-iron-ore-madagascar
#46a546,3,PREVENTIVE resistance (precautionary phase),sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
#46a546,3,PREVENTIVE resistance (precautionary phase),exploratory-fracking-at-kirby-misperton-yorkshire
#46a546,3,PREVENTIVE resistance (precautionary phase),bedford-biofuels-jatropha-tana-delta-kenya
#7a43b6,5,Mobilization for reparations once impacts have been felt,derrame-de-petroleo-en-el-campo-de-frade-brazil
#ee2c2c,4,In REACTION to the implementation (during construction or operation),chemehuevi-indian-tribe-off-roading-damage
#ee2c2c,4,In REACTION to the implementation (during construction or operation),clayoquot-sound-canada
#ee2c2c,4,In REACTION to the implementation (during construction or operation),adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
#46a546,3,PREVENTIVE resistance (precautionary phase),nuclear-waste-storage-in-villar-de-canas-spain
#46a546,3,PREVENTIVE resistance (precautionary phase),mis-valley-hydropower-plant-italy
#ee2c2c,4,In REACTION to the implementation (during construction or operation),varun-land-grabbing-madagascar
#46a546,3,PREVENTIVE resistance (precautionary phase),vindelalven-hydel-project-sweden
#ee2c2c,4,In REACTION to the implementation (during construction or operation),land-grabbing-and-filling-up-of-wetlands
#46a546,3,PREVENTIVE resistance (precautionary phase),luoding-incinerator-guangzhou-china
#46a546,3,PREVENTIVE resistance (precautionary phase),mineria-en-jardin-antioquia-colombia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),illegal-boreholes-for-strawberry-farming-in-donana
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),exxaro-leeuwpan-mining-project-south-africa
#46a546,3,PREVENTIVE resistance (precautionary phase),kosova-e-re-lignite-power-plant
#46a546,3,PREVENTIVE resistance (precautionary phase),coastal-zone-megaprojects-el-salvador
#7a43b6,5,Mobilization for reparations once impacts have been felt,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
#46a546,3,PREVENTIVE resistance (precautionary phase),fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
#ee2c2c,4,In REACTION to the implementation (during construction or operation),macarthur-metallic-black-sand-mining
#ee2c2c,4,In REACTION to the implementation (during construction or operation),russas-valparaiso-redd-projects-acre-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
#7a43b6,5,Mobilization for reparations once impacts have been felt,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
#46a546,3,PREVENTIVE resistance (precautionary phase),shale-gas-hydraulic-fracturing-ile-anticosti
#ee2c2c,4,In REACTION to the implementation (during construction or operation),rubber-tree-plantation-near-de-dja-reserve
#ee2c2c,4,In REACTION to the implementation (during construction or operation),killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
#7a43b6,5,Mobilization for reparations once impacts have been felt,asbestos-in-salonit-anhovo-slovenia
#46a546,3,PREVENTIVE resistance (precautionary phase),military-polygon-on-sinjajevina-montenegro
#ee2c2c,4,In REACTION to the implementation (during construction or operation),olkiluoto-nuclear-power-plant-euraaminne-finland
#ee2c2c,4,In REACTION to the implementation (during construction or operation),cellulose-industry-in-gualeguaychu-ur-arg
#ee2c2c,4,In REACTION to the implementation (during construction or operation),construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina
#46a546,3,PREVENTIVE resistance (precautionary phase),habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
#ee2c2c,4,In REACTION to the implementation (during construction or operation),anti-fracking-uprising-in-ain-salah
#46a546,3,PREVENTIVE resistance (precautionary phase),complejo-inmobiliario-mitikah-ciudad-viva
#ee2c2c,4,In REACTION to the implementation (during construction or operation),cano-limon-oilfield-in-arauquita-arauca-colombia
#46a546,3,PREVENTIVE resistance (precautionary phase),represas-del-rio-santa-cruz1
#46a546,3,PREVENTIVE resistance (precautionary phase),residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china
#7a43b6,5,Mobilization for reparations once impacts have been felt,norsudtimber-illegal-in-drc
#ee2c2c,4,In REACTION to the implementation (during construction or operation),gold-min
#46a546,3,PREVENTIVE resistance (precautionary phase),presa-de-el-zapotillo-jalisco-mexico
#ee2c2c,4,In REACTION to the implementation (during construction or operation),ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia
#46a546,3,PREVENTIVE resistance (precautionary phase),jirau-and-santo-antonio-dams-on-madeira-river-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),jamsher-solid-waste-treatment-plant-jalandhar-punjab-india
#7a43b6,5,Mobilization for reparations once impacts have been felt,mutanda-mine-democratic-republic-of-congo
#46a546,3,PREVENTIVE resistance (precautionary phase),proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china
#46a546,3,PREVENTIVE resistance (precautionary phase),dugarajapatnam-port-andhra-pradesh-india
#46a546,3,PREVENTIVE resistance (precautionary phase),illegal-stone-quarry-in-andarawewa-forest-reserve
#ee2c2c,4,In REACTION to the implementation (during construction or operation),marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia
#7a43b6,5,Mobilization for reparations once impacts have been felt,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china
#46a546,3,PREVENTIVE resistance (precautionary phase),bc-hydro-site-c-dam-canada
#7a43b6,5,Mobilization for reparations once impacts have been felt,sponge-iron-factories-in-west-bengal-india
#46a546,3,PREVENTIVE resistance (precautionary phase),roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia
#46a546,3,PREVENTIVE resistance (precautionary phase),saemangeun-reclamation-project-south-korea
