slug,relevant_government
calcatreu-rio-negro-argentina,"Gobierno de Río Negro.
Intendencia de Ingeniero Jacobacci
Departamento Provincial de Agua"
water-contamination-by-rahim-yar-khan-sugar-mill,
new-airport-on-tioman-island,"Government of Malaysia
Pahang Darul Makmur
Department of Environment
Department of Marine Park
Department of Irrigation and Drainage (DID)
PLANMalaysia
Water Regulatory Body (BKSA)
State Secretary Office 
Malaysian Maritime Enforcement Agency"
pesticides-contaminate-drinkable-water-in-bretagne-france,"ANSES : French Agency for Food, Environmental and Occupational Health and Safety (Agence nationale de sécurité sanitaire de l’alimentation, de l’environnement et du travail)
ARS : Regional Health Agency (Agence régionale de la santé)"
copper-mining-on-the-asana-river-peru,"Instituto Nacional de Desarrollo (INADE), Instituto Nacional de Recursos Naturales (INRENA), Ministerio de Energía y Minas (MINEM), Regional Government of Moquegua"
wind-farm-nowe-skalmierzyce-poland,"- Mayor of Nowe Skalmierzyce commune
- Commune Council in Nowe Skalmierzyce
- Head of Ostrów Wielkopolski county
- Greater Poland voivode
- Provincial Inspectorate of Building Supervision in Poznań
- Chief Inspector of Building Supervision in Warsaw
- District Prosecutor's Office in Ostrów Wielkopolski"
kamchay-dam-kampot-province-cambodia,"Chinese government
Cambodian government
The Department of Environment
Department of Hydropower
Ministry of Industry, Mines and Energy 
Ministry of Water Resources
Electricity Authority of Cambodia
Kampot Provincial Department of Environment"
pt-sss-irregular-establishment,"Provincial government of Central Kalimantan
District Land Agency (BPN) of Pangkalan Bun
District Forestry Office of Kobar
National Land Agency"
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Department of Mineral Resources
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"- Environmental Protection Authority (EPA), Australia
- Federal Government of Australia"
lake-chad-desertification-chad,"Lake Chad Basin Commission, Government of Nigeria, Government of Chad, Government of Cameroon, Government of Niger, Government of the Central African Republic"
xochicuautla-comunidadotomi-mexico,"Gobierno de Edomex (Estado de México). 
Semarnat.
Sedatu."
congo-coltan-in-the-kivu-region-dr-of-congo,Government of the Democratic Republic of the Congo.
lesten-tampur-dam,"North Sumatera government, Indonesian government"
sime-darby-plantation-land-conflict-liberia,"Ministry of Agriculture, Ministry of Land, Mines and Energy, Inter-Ministerial Committee on Sime Darby, Environmental Protection Agency"
obsolete-pesticides-in-abaco-island-bahamas,Bahamian Ministry of Health; Department of Environmental Services;
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,South Africa Human Rights Commission
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,
oil-drilling-in-the-national-park-of-calilegua,"Administracion de Parques Nacionales, Jujuy Province Government, Fundacion Proyungas,"
irish-cement,"Limerick City and County Council.
Environmental Protection Agency, www.epa.ie, issues licences to permit shift to waste incineration."
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Gobierno nacional; Parlamento italiano; Consejo de Estado; Ministerio de Desarrollo Económico; CIPE (Comité Interministerial de Programación Económica); Región de Lazio; TAR (Tribunal Administrativo Regional) de Lazio; Provincia de Viterbo; Común y alcalde de Montalto di Castro.
